epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3615,1.75161,3.71231,1.9228,0.91413,0.33646,0.38635,0.32975,1.78182,3.13627,1.76354,0.0001,0.0001,0.0001
2,22.8977,1.23164,2.07365,1.52258,0.92392,0.36537,0.3981,0.29745,1.99445,3.98139,2.15008,0.000208994,0.000208994,0.000208994
3,26.4252,1.30777,1.83926,1.52921,0.70611,0.3375,0.37435,0.32503,1.76841,3.38992,1.94197,0.000314275,0.000314275,0.000314275
4,29.6483,1.26564,1.67437,1.49855,0.75431,0.35905,0.35958,0.2911,1.91083,2.87891,2.11002,0.000415844,0.000415844,0.000415844
5,32.9011,1.17694,1.53171,1.46172,0.1169,0.4704,0.18829,0.07085,2.44953,4.20143,2.46387,0.0005137,0.0005137,0.0005137
6,37.1495,1.21685,1.50317,1.4683,0.34422,0.24526,0.07457,0.02654,2.64829,4.65013,2.53015,0.000607844,0.000607844,0.000607844
7,40.4247,1.22266,1.37985,1.45652,0.55052,0.21037,0.29275,0.20519,2.10441,3.53797,2.07779,0.000698275,0.000698275,0.000698275
8,43.6552,1.20061,1.40611,1.46882,0.74542,0.1625,0.13894,0.05101,2.56734,4.29414,2.51925,0.000784994,0.000784994,0.000784994
9,46.9845,1.06941,1.23774,1.40733,0.0703,0.40379,0.15071,0.04682,2.50982,4.98621,2.62703,0.000868,0.000868,0.000868
10,51.0884,1.17971,1.35,1.4822,0.58069,0.1178,0.22453,0.0703,2.54739,4.68038,2.67424,0.000947294,0.000947294,0.000947294
11,54.2385,1.16153,1.27766,1.44648,0.56899,0.17727,0.17695,0.04119,2.66621,3.97306,2.68266,0.00102288,0.00102288,0.00102288
12,57.5089,1.23437,1.3129,1.46722,0.09389,0.41439,0.15145,0.07896,3.15057,8.62282,2.91339,0.00102312,0.00102312,0.00102312
13,60.8744,1.20495,1.35357,1.46854,0.36765,0.42955,0.40113,0.10151,2.93064,4.90378,2.81768,0.0010025,0.0010025,0.0010025
14,64.8227,1.14491,1.27595,1.42419,0.37809,0.21477,0.19725,0.07548,2.40962,2.99943,2.36767,0.000981875,0.000981875,0.000981875
15,68.0085,1.1404,1.21332,1.42726,0.57891,0.28016,0.2704,0.17901,2.07282,2.39022,2.09943,0.00096125,0.00096125,0.00096125
16,71.1709,1.18011,1.25574,1.43966,0.29162,0.34697,0.29402,0.19479,2.1266,2.49463,2.11674,0.000940625,0.000940625,0.000940625
